EPIC,RA,Dec,KepMag,HIP,Flag,Module,Name,SpType
integer,ra,dec,float,integer, , ,,
206043611,22 49 35.502,-13 35 33.48,3.700,112716,2,06.2,tau2_Aqr,K5III
206033449,22 06 26.227,-13 52 10.86,4.418,109139,2,23.1,iot_Aqr,B8V
206154546,22 30 38.815,-10 40 40.62,4.960,111123,2,13.3,sig_Aqr,A0IV
206072064,22 16 48.045,-12 49 53.17,5.127,110000,2,18.3,42_Aqr,K1III
206326769,22 20 11.916,-07 49 15.96,5.477,110273,2,14.4,rho_Aqr,B8IIImnp,observed
206246606,22 16 52.566,-09 02 24.24,5.576,110009,2,14.3,HR_8500,K3III,proposed,*
206120416,22 10 37.482,-11 33 53.78,5.588,109472,2,19.3,38_Aqr,B5III,observed
206045955,22 24 27.060,-13 31 45.73,5.590,110602,2,17.2,50_Aqr,K0III
206054412,22 19 00.740,-13 18 17.98,5.765,110179,2,18.2,45_Aqr,K0III
206026652,22 47 42.769,-14 03 23.14,5.812,112542,2,06.1,tau1_Aqr,B9V,observed
206502122,22 24 06.884,-04 50 13.27,5.907,110578,2,10.1,51_Aqr,B9.5V
206021825,22 12 25.756,-14 11 38.25,6.022,109624,2,23.2,39_Aqr,F0V
206404765,22 31 18.313,-06 33 18.54,6.074,111170,2,09.4,HR_8581,F8V
205919060,22 35 48.804,-17 27 37.52,6.083,111539,2,16.3,61_Aqr,K4III,proposed,observed
205938920,22 26 34.270,-16 44 31.60,6.195,110778,2,16.1,53_Aqr,G2V+G3V
206159530,22 48 30.210,-10 33 19.71,6.195,112615,2,02.2,70_Aqr,A9III-IV,deltaScuti
206488888,22 42 06.027,-05 06 07.07,6.239,112078,2,04.4,LP_Aqr,M0
206209404,22 34 06.614,-09 36 30.58,6.322,111398,2,08.2,HD_213780,K0
205967173,22 14 38.220,-15 49 06.71,6.333,109822,2,22.1,HD_211038,G9.5IV-V
206068930,22 30 01.483,-12 54 54.43,6.391,111066,2,12.1,HR_8565,F2/F3IV/V
206145793,22 31 41.320,-10 54 20.02,6.391,111200,2,13.3,58_Aqr,A8III
206149074,22 10 31.771,-10 49 13.41,6.428,109460,2,19.3,37_Aqr,K0
205984021,22 38 33.728,-15 17 57.33,6.553,-99999,2,11.1,EZ_Aqr,M5V
206164121,22 07 18.109,-10 26 48.74,6.571,109201,2,19.4,19.4,KN_Aqr,M3
206096481,22 54 07.122,-12 11 25.52,6.579,113085,2, 85?,75_Aqr,K2/K3III
206183149,22 52 46.514,-10 03 31.93,6.655,112974,2,02.3,HD_216401,F8V
205974636,22 45 28.000,-15 35 00.23,6.713,112356,2,11.3,HD_215451,M2III
206106840,22 13 26.380,-11 55 34.04,6.759,109720,2,18.4,40_Aqr,G5IV
206225297,22 40 07.982,-09 21 33.25,6.810,111910,2,08.4,HD_214686,G0
206303603,22 09 26.880,-08 11 08.62,6.819,109369,2,20.1,36_Aqr,G5
206410048,22 32 34.060,-06 28 01.83,6.819,111274,2,09.4,HD_213575,G2V
206184719,22 39 16.028,-10 01 40.08,6.824,111843,2,08.4,64_Aqr,G0
206354282,22 26 34.697,-07 22 39.17,6.861,110780,2,09.3,HD_212717,F0
205962004,22 17 27.191,-15 58 47.14,6.882,110054,2,22.1,HD_211463,K0III,proposed
205995584,22 23 20.432,-14 57 04.67,6.972,110518,2,17.2,HD_212270,F5V
205949434,22 36 06.437,-16 23 16.76,6.995,111563,2,11.1,HD_214080,B1/B2Ib
