RA,Dec,EPIC,HIP,KepMag,ChannelNo,Name,Targeted?,SpType,Comments
56.871152,24.105136,211070770,17702,2.986,52,Alcyone,Y,B7III,Pleiades. Be star
64.948349,15.627643,210513001,20205,3.474,14,gam Tau,Y,G9.5IIIab_CN0.5,Hyades. Double or multiple star
60.170065,12.490341,210359961,18724,3.569,55,lam Tau,N,B3V+…,EB (detached)
65.733719,17.542514,210640801,20455,3.585,1,del1 Tau,Y,K0III,Hyades. SpB
57.290594,24.053417,211067718,17847,3.763,49,Atlas,Y,B8III,Pleaides. SpB
56.218904,24.113336,211071265,17499,3.851,51,Electra,Y,B6IIIe,Pleaides. Be star
56.456694,24.367746,211087560,17573,4.006,52,Maia,Y,B8III,Pleaides
61.173812,22.081923,210943602,19038,4.155,25,37 Tau,N,K0III,
56.581558,23.948356,211061086,17608,4.305,52,Merope,Y,B6IVe,Pleaides. Known bCep
66.372431,17.927905,210668871,20648,4.358,4,del3 Tau,N,A2IV-Vs,Hyades. a2CVn variable
56.302066,24.46728,211093973,17531,4.448,52,Taygeta,Y,B6IV,Pleaides
66.023999,17.444127,210633806,20542,4.844,1,del2 Tau,N,A2Vs,Hyades
57.296732,24.136711,211072686,17851,5.192,49,Pleione,Y,B8Vne,Pleaides. Be star
57.578922,25.579374,211157773,17954,5.271,31,HR 1188,N,A2IVp,Double or multiple star
65.151294,15.095451,210481526,20261,5.281,14,58 Tau,N,F0IV-V,Hyades. Known dSct
62.291528,19.609215,210782877,19388,5.312,24,ome1 Tau,N,K2III,
57.086732,23.42125,211028385,17776,5.579,49,HR 1172,Y,B8V,Pleaides. Known variable
64.990431,14.0352,210425611,20219,5.587,15,57 Tau,Y,F0IV,Hyades. Known dSct
56.200897,24.289468,211082490,17489,5.589,52,Celeno,Y,B7IV,Pleaides. Known variable
59.216987,22.477972,210968459,18471,5.611,27,32 Tau,Y,F2IV,
65.514657,14.077197,210427655,20400,5.708,15,60 Tau,N,A3m,Hyades. Known dSct
61.334409,22.008902,210938993,19076,5.775,25,39 Tau,Y,G5V,Double or multiple star
56.290583,24.83926,211116936,17527,5.793,52,18 Tau,Y,B8V,Pleaides
55.578946,19.700256,210788932,17309,5.796,66,13 Tau,Y,B9Vne,Be star
60.203188,18.193999,210688161,18735,5.865,43,HR 1238,Y,F4V,Hyades. High proper-motion star
52.110702,22.804008,210989213,16181,5.871,71,66 Ari,Y,K0IV,Double or multiple star
56.476987,24.554512,211099592,17579,5.885,52,Sterope I,Y,B8V,Pleiades. Known variable
59.359928,24.46194,211093623,18508,5.892,30,HR 1222,N,K0,
66.238031,19.042009,210745602,20614,5.946,3,HR 1385,Y,F4V,Hyades
55.946724,19.665036,210786593,17408,5.952,66,14 Tau,Y,G8III,
62.256544,13.398281,210397036,19376,6.03,35,HR 1284,Y,B9.5V,
65.104621,18.742608,210725815,20255,6.06,2,HR 1354,Y,F2Vn,Hyades
57.027252,24.988417,211125522,17759,6.103,52,HD 23712,N,K5,Known variable
65.219667,13.864427,210417655,20284,6.104,15,HR 1358,N,DA3+F6V,Hyades. SpB
59.265864,23.175548,211012647,18485,6.148,27,33 Tau,N,B9.5IV,SpB
58.267834,25.544576,211155977,,6.19,31,SX Tau,Y,M,Mira variable
63.213524,22.413459,210964459,19672,6.195,9,HR 1297,Y,B8III,a2CVn variable
57.479472,22.244155,210953721,17921,6.198,48,HR 1185,N,B8III,Pleiades
63.942852,15.400696,210499243,19877,6.264,14,48 Tau,Y,F5V,Hyades. Ellipsoidal variable
57.431377,23.711854,211046293,17900,6.29,49,HR 1183,Y,B8V,Pleiades
56.837653,24.116269,211071441,,6.381,52,24 Tau,N,A0V,Pleiades
58.39366,25.682879,211163216,18201,6.432,31,HD 24368,Y,A2V,Pleiades. Known variable
57.237254,23.857134,211055135,17832,6.443,49,26 Tau,Y,F0,Pleiades
54.449298,15.430556,210501067,16924,6.449,78,HR 1102,Y,A5IV,
52.83801,17.938177,210669602,16414,6.453,82,HD 21787,N,K2,
57.902593,22.031358,210940412,18059,6.51,48,HR 1193,Y,K0III,
65.394979,14.409788,210444167,20357,6.545,15,HD 27561,Y,F5IV-V,Hyades
56.512085,24.527898,211097879,17588,6.548,52,Sterope II,Y,A0Vn,Pleiades. Double or multiple star
63.610098,23.696422,211045405,19785,6.574,12,HD 26719,N,K0,
51.763414,18.756555,210726738,16077,6.588,84,HR 1036,Y,A3V,
58.047488,25.163077,211135356,18106,6.667,31,HD 18106,Y,G0,Pleaides. High proper-motion star
57.340622,24.380954,211088413,17862,6.713,52,HD 23873,Y,B9.5V,Pleiades
64.429269,13.836591,210416404,20025,6.742,16,HD 27145,Y,G5,
62.215637,23.871136,211056039,19361,6.779,10,HD 26116,Y,K2,
54.241775,23.211071,211014841,16859,6.79,72,9 Tau,Y,A2p,a2CVn variable
54.669669,22.659611,210979763,17000,6.827,69,HD 22578,Y,A0,Pleiades
57.855391,25.162928,211135350,18046,6.851,31,HD 24118,Y,A2V,Pleaides
56.821425,23.726751,211047173,17684,6.887,49,HD 23609,Y,F5,Pleiades
57.491891,23.848694,211054599,17923,6.922,49,HD 23964,Y,A0V…,Pleiades SpB
56.747492,24.520125,211097388,17664,6.937,52,HD 23568,Y,B9.5V,Pleiades
62.570031,23.980716,211063192,,6.95,10,HD 26277,N,G5,
53.239718,16.598428,210575096,16538,6.954,80,HD 21962,Y,F5,High proper-motion star
